   3.732513e-04   2.053700e+04   0.000000e+00   0.000000e+00  -6.048883e-06  -1.161313e-05  -1.636218e-05  -2.022442e-05  -2.340939e-05  -2.634187e-05  -2.952683e-05  -3.338906e-05  -3.813811e-05  -4.370236e-05  -4.975124e-05   0.000000e+00   1.046038e-04   2.007314e-04   2.805944e-04   3.377243e-04   3.674945e-04   3.674944e-04   3.377243e-04   2.805944e-04   2.007314e-04   1.046038e-04   0.000000e+00
   7.508845e-04   4.080200e+04   1.000000e+00   0.000000e+00  -1.213437e-05  -2.328784e-05  -3.279138e-05  -4.050000e-05  -4.683784e-05  -5.266466e-05  -5.900249e-05  -6.671111e-05  -7.621465e-05  -8.736812e-05  -9.950249e-05   0.000000e+00   2.104345e-04   4.038170e-04   5.644801e-04   6.794102e-04   7.393001e-04   7.393000e-04   6.794103e-04   5.644801e-04   4.038170e-04   2.104345e-04   0.000000e+00
   1.132822e-03   6.079100e+04   2.000000e+00   0.000000e+00  -1.825678e-05  -3.502468e-05  -4.928817e-05  -6.082719e-05  -7.028554e-05  -7.896822e-05  -8.842654e-05  -9.996556e-05  -1.142291e-04  -1.309969e-04  -1.492537e-04   0.000000e+00   3.174700e-04   6.092150e-04   8.515985e-04   1.024987e-03   1.115340e-03   1.115340e-03   1.024987e-03   8.515985e-04   6.092150e-04   3.174700e-04   0.000000e+00
   1.518980e-03   8.050200e+04   3.000000e+00   0.000000e+00  -2.441642e-05  -4.682415e-05  -6.585312e-05  -8.120642e-05  -9.375264e-05  -1.052524e-04  -1.177986e-04  -1.331519e-04  -1.521808e-04  -1.745886e-04  -1.990050e-04   0.000000e+00   4.256871e-04   8.168806e-04   1.141887e-03   1.374380e-03   1.495533e-03   1.495532e-03   1.374380e-03   1.141887e-03   8.168806e-04   4.256871e-04   0.000000e+00
   1.909270e-03   9.993300e+04   4.000000e+00   0.000000e+00  -3.061355e-05  -5.868669e-05  -8.248669e-05  -1.016380e-04  -1.172393e-04  -1.315170e-04  -1.471182e-04  -1.662695e-04  -1.900695e-04  -2.181427e-04  -2.487562e-04   0.000000e+00   5.350607e-04   1.026766e-03   1.435278e-03   1.727508e-03   1.879789e-03   1.879789e-03   1.727508e-03   1.435278e-03   1.026766e-03   5.350607e-04   0.000000e+00
   2.303597e-03   1.190800e+05   5.000000e+00   0.000000e+00  -3.684838e-05  -7.061267e-05  -9.918928e-05  -1.221224e-04  -1.407455e-04  -1.577620e-04  -1.763851e-04  -1.993182e-04  -2.278948e-04  -2.616591e-04  -2.985075e-04   0.000000e+00   6.455640e-04   1.238819e-03   1.731700e-03   2.084285e-03   2.268016e-03   2.268016e-03   2.084285e-03   1.731700e-03   1.238819e-03   6.455640e-04   0.000000e+00
   2.701860e-03   1.379500e+05   6.000000e+00   0.000000e+00  -4.312111e-05  -8.260240e-05  -1.159613e-04  -1.426597e-04  -1.642716e-04  -1.839872e-04  -2.055990e-04  -2.322975e-04  -2.656563e-04  -3.051376e-04  -3.482587e-04   0.000000e+00   7.571690e-04   1.452986e-03   2.031079e-03   2.444619e-03   2.660116e-03   2.660115e-03   2.444619e-03   2.031079e-03   1.452986e-03   7.571690e-04   0.000000e+00
   3.103954e-03   1.565300e+05   7.000000e+00   0.000000e+00  -4.943188e-05  -9.465614e-05  -1.328029e-04  -1.632501e-04  -1.878174e-04  -2.101926e-04  -2.347598e-04  -2.652071e-04  -3.033538e-04  -3.485781e-04  -3.980100e-04   0.000000e+00   8.698462e-04   1.669211e-03   2.333333e-03   2.808416e-03   3.055983e-03   3.055983e-03   2.808416e-03   2.333333e-03   1.669211e-03   8.698462e-04   0.000000e+00
   3.509769e-03   1.748300e+05   8.000000e+00   0.000000e+00  -5.578080e-05  -1.067741e-04  -1.497143e-04  -1.838939e-04  -2.113831e-04  -2.363781e-04  -2.638673e-04  -2.980469e-04  -3.409871e-04  -3.919804e-04  -4.477612e-04   0.000000e+00   9.835644e-04   1.887434e-03   2.638381e-03   3.175576e-03   3.455510e-03   3.455509e-03   3.175576e-03   2.638381e-03   1.887434e-03   9.835644e-04   0.000000e+00
   3.919191e-03   1.928400e+05   9.000000e+00   0.000000e+00  -6.216795e-05  -1.189563e-04  -1.666958e-04  -2.045912e-04  -2.349688e-04  -2.625438e-04  -2.929213e-04  -3.308167e-04  -3.785561e-04  -4.353445e-04  -4.975124e-04   0.000000e+00   1.098292e-03   2.107594e-03   2.946137e-03   3.545995e-03   3.858583e-03   3.858582e-03   3.545995e-03   2.946137e-03   2.107594e-03   1.098292e-03   0.000000e+00
   4.332100e-03   2.105600e+05   1.000000e+01   0.000000e+00  -6.859335e-05  -1.312029e-04  -1.837473e-04  -2.253419e-04  -2.585744e-04  -2.886894e-04  -3.219218e-04  -3.635164e-04  -4.160608e-04  -4.786703e-04  -5.472637e-04   0.000000e+00   1.213994e-03   2.329626e-03   3.256510e-03   3.919565e-03   4.265085e-03   4.265084e-03   3.919565e-03   3.256510e-03   2.329626e-03   1.213994e-03   0.000000e+00
   4.748374e-03   2.279900e+05   1.100000e+01   0.000000e+00  -7.505702e-05  -1.435139e-04  -2.008688e-04  -2.461461e-04  -2.821999e-04  -3.148152e-04  -3.508689e-04  -3.961461e-04  -4.535010e-04  -5.219579e-04  -5.970149e-04   0.000000e+00   1.330638e-03   2.553464e-03   3.569409e-03   4.296175e-03   4.674896e-03   4.674895e-03   4.296175e-03   3.569409e-03   2.553464e-03   1.330639e-03   0.000000e+00
   5.167887e-03   2.451400e+05   1.200000e+01   0.000000e+00  -8.155889e-05  -1.558892e-04  -2.180603e-04  -2.670037e-04  -3.058453e-04  -3.409210e-04  -3.797625e-04  -4.287059e-04  -4.908770e-04  -5.652073e-04  -6.467662e-04   0.000000e+00   1.448189e-03   2.779041e-03   3.884739e-03   4.675712e-03   5.087892e-03   5.087891e-03   4.675712e-03   3.884739e-03   2.779041e-03   1.448189e-03   0.000000e+00
